#,TRADING CODE,LTP*,HIGH,LOW,CLOSEP*,YCP*,CHANGE,TRADE,VALUE (mn),VOLUME
1,RECKITTBEN,"3,375.1","3,380","3,369","3,375.1","3,373.1",2,100,1.95,578
2,MARICO,"2,776.6","2,875","2,770","2,776.6","2,781",-4.4,179,11.654,"4,195"
3,EASTRNLUB,"2,439.6","2,475","2,425.5","2,439.6","2,431.6",8,937,14.382,"5,851"
4,UNILEVERCL,"2,376","2,405","2,375","2,377.5","2,388.3",-12.3,40,0.212,89
5,BERGERPBL,"1,421.8","1,430","1,409.3","1,421.8","1,415",6.8,465,21.706,"15,321"
6,LINDEBD,898.2,906.6,895.6,898.2,906.6,-8.4,724,13.423,"14,905"
7,BATASHOE,872.6,880,872.6,875.5,876.6,-4,14,0.202,231
8,AMBEEPHA,816.2,833.5,815,817.4,819.1,-2.9,73,1.346,"1,647"
9,LIBRAINFU,777.5,788.4,769.1,778.9,768.5,9,624,6.891,"8,838"
10,RENWICKJA,645,663.9,635,644.8,645.7,-0.7,12,0.349,541
11,PHARMAID,583,594.5,578.9,583.6,581.7,1.3,273,3.493,"5,957"
12,GQBALLPEN,572.4,585,541.2,572.4,551.2,21.2,"1,232",36.402,"64,524"
13,KOHINOOR,569.9,578,558,569.9,559.9,10,"1,084",22.087,"38,745"
14,ORIONINFU,537.2,539,518,537.2,517.3,19.9,"2,864",186.608,"351,436"
15,RENATA,484.6,486.9,484,484.6,482.4,2.2,544,11.084,"22,844"
16,WALTONHIL,467.4,474.8,466,467.4,473.1,-5.7,"2,077",69.874,"149,058"
17,MONNOAGML,371.4,383,370,371.4,377.7,-6.3,382,7.131,"18,934"
18,KAY&QUE,359.2,370.9,356.2,359.2,370.3,-11.1,"1,802",47.967,"131,947"
19,FINEFOODS,314.9,324.9,306.6,314.9,306.3,8.6,"1,463",48.188,"153,521"
20,IBNSINA,312,317.6,308,310.7,314.8,-2.8,533,11.586,"37,148"
21,GP,298.4,301.5,297.9,298.4,299,-0.6,523,10.992,"36,743"
22,BATBC,280,281.6,276.6,280,279.4,0.6,"1,901",39.93,"143,046"
23,SONALIPAPR,269.8,278.1,267.3,269.8,272.6,-2.8,"2,746",98.241,"359,751"
24,HEIDELBCEM,244.8,248.4,244,244.8,244.6,0.2,202,4.883,"19,932"
25,APEXFOODS,235.8,239,231.7,235.8,233.6,2.2,192,2.599,"11,065"
26,AMCL(PRAN),229.7,232,227.8,229.7,228.3,1.4,52,0.804,"3,506"
27,APEXFOOT,229.5,231.9,227,229.5,228.2,1.3,277,5.111,"22,245"
28,JUTESPINN,220.8,231.7,220,220.8,225.7,-4.9,85,1.054,"4,704"
29,SONALIANSH,220.5,226,219.3,220.5,223.6,-3.1,"1,061",26.326,"118,266"
30,ARAMIT,219,225.1,217.4,219,224.4,-5.4,241,3.09,"14,044"
31,SQURPHARMA,218.4,219.3,218.1,218.4,218.2,0.2,879,29.187,"133,497"
32,MPETROLEUM,210.8,211.6,208.1,210.8,209,1.8,276,13.46,"64,178"
33,PRAGATILIF,204.3,205,194.9,204.3,197.5,6.8,"1,962",62.443,"310,536"
34,SHYAMPSUG,203.8,209.2,200,203.8,206.2,-2.4,154,3.615,"17,897"
35,PADMAOIL,198,199,197.5,198,198.3,-0.3,183,4.284,"21,633"
36,JAMUNAOIL,186.3,187.8,186,186.5,186.9,-0.6,317,6.412,"34,287"
37,ACI,178.3,181.2,178,178.3,178.7,-0.4,312,5.065,"28,247"
38,RAHIMTEXT,178.1,189.9,176,178.1,182.8,-4.7,734,7.849,"42,750"
39,NTC,177.1,180,175,177.1,179.1,-2,45,0.229,"1,295"
40,RANFOUNDRY,176.7,180,175,177.5,178.9,-2.2,316,6.607,"36,962"
41,GEMINISEA,171.2,175.8,170.7,171.2,173.2,-2,676,11.036,"64,109"
42,CVOPRL,167.2,176.9,165,167.2,176.4,-9.2,"3,262",102.71,"602,431"
43,AL-HAJTEX,164.6,167.5,162,164.6,164,0.6,597,22.9,"139,020"
44,APEXSPINN,159.9,163,152.6,159.9,153.8,6.1,"1,102",40.913,"259,356"
45,OLYMPIC,157.8,159.4,155,157.8,156,1.8,523,20.753,"132,382"
46,BDLAMPS,155.2,162.9,153.6,155.2,156.5,-1.3,219,2.588,"16,595"
47,KBPPWBIL,154.1,156.5,152.8,154.1,153.9,0.2,"3,583",150.312,"970,839"
48,TAMIJTEX,146,148,142.1,143.5,145.9,0.1,795,12.84,"88,537"
49,DULAMIACOT,144.5,144.9,133.2,144.5,131.8,12.7,745,11.299,"80,994"
50,ACIFORMULA,143.1,146.7,141.5,143.1,141.3,1.8,470,6.833,"47,279"
51,JMISMDL,143,147,143,143.3,144.1,-1.1,141,1.302,"8,957"
52,UPGDCL,142.3,145.1,142,142.3,143.8,-1.5,528,11.039,"77,093"
53,WATACHEM,140,141,139.5,140,140.9,-0.9,118,2.021,"14,423"
54,BSCPLC,138.6,140.2,138,138.6,138.1,0.5,958,34.1,"245,123"
55,ECABLES,134.3,136.7,133.5,134.3,134.1,0.2,312,3.969,"29,493"
56,RAHIMAFOOD,132.3,137.8,132,132.3,134.7,-2.4,868,15.109,"113,114"
57,BDAUTOCA,130.3,135.5,130,130.3,131,-0.7,757,13.265,"100,565"
58,HAMI,125.4,129.3,124,125.4,127.5,-2.1,410,4.974,"39,364"
59,BEACONPHAR,125.2,127.7,124.1,125.2,125.5,-0.3,"1,449",38.074,"301,946"
60,DSHGARME,123.8,129.7,123.3,123.8,126.4,-2.6,695,10.395,"83,162"
61,BXPHARMA,121.9,123.4,118,121.9,117.6,4.3,"1,764",75.017,"616,867"
62,BANGAS,116.8,121,116,116.8,120.4,-3.6,701,12.011,"101,289"
63,BSC,116.5,117.8,114.3,116.5,113.5,3,"4,089",161.375,"1,380,930"
64,ISNLTD,114.6,116.5,110.3,114.6,111.6,3,"2,619",117.653,"1,041,638"
65,ZEALBANGLA,113.6,119.7,112,113.6,115.4,-1.8,129,1.737,"14,840"
66,BEXIMCO,110.1,110.1,110.1,110.1,110.1,0,3,0.006,54
67,NATLIFEINS,110,113.7,108.9,110,110.2,-0.2,314,6.076,"55,151"
68,RUPALILIFE,109.4,110.7,107.7,109.4,108.9,0.5,"2,511",80.322,"736,831"
